time,open,high,low,close,ATR,EMA,EMA,Hiden bar color (Open),Hiden bar color (High,Hiden bar color (Low),Hiden bar color (Close),EMA,Volume,Volume MA,Previous Cumulative Volume,Previous Day&#039;s Volume,Cumulative Volume,Previous Cumulative Volume Line,Cumulative Volume Ratio
2020-11-09T17:30:00Z,7.17,7.17,7.16,7.17,NaN,NaN,NaN,7.17,7.17,7.16,7.17,7.15177409844862,1975,1376,39145.8,46405,33235,NaN,0
2020-11-09T17:45:00Z,7.17,7.18,7.16,7.17,0.057235155950196986,NaN,NaN,7.17,7.18,7.16,7.17,7.154578083302678,2900,1411.9,39990.3,46405,36135,NaN,0
2020-11-09T18:00:00Z,7.16,7.18,7.16,7.18,NaN,NaN,NaN,7.16,7.18,7.16,7.18,7.158489147409958,575,1402.5,41039.8,46405,36710,NaN,0
2020-11-09T18:15:00Z,7.17,7.18,7.15,7.15,NaN,NaN,NaN,7.17,7.18,7.15,7.15,7.157183124731503,665,1376,42979.8,46405,37375,NaN,0
2020-11-09T18:30:00Z,7.15,7.18,7.15,7.18,NaN,NaN,NaN,7.15,7.18,7.15,7.18,7.160693413234349,2805,1402.8,45072.8,46405,40180,NaN,0
2020-11-09T18:45:00Z,7.18,7.18,7.16,7.16,0.05228330941379742,NaN,NaN,7.18,7.18,7.16,7.16,7.160586734275219,290,1351.9,47015.3,46405,40470,NaN,0
2020-11-09T19:30:00Z,7.16,7.16,7.16,7.16,NaN,NaN,NaN,7.16,7.16,7.16,7.16,7.160496467463647,1130,1363.9,49508.3,46405,41600,NaN,0
2020-11-09T19:45:00Z,7.16,7.16,7.15,7.16,0.04459543497492512,NaN,NaN,7.16,7.16,7.15,7.16,7.160420087853855,240,1330,51255.8,46405,41840,NaN,0
2020-11-09T20:00:00Z,7.16,7.18,7.16,7.18,NaN,NaN,NaN,7.16,7.18,7.16,7.18,7.163432382030185,920,1322.4,52347.8,46405,42760,NaN,0
2020-11-09T20:15:00Z,7.18,7.19,7.17,7.18,NaN,NaN,NaN,7.18,7.19,7.17,7.18,7.165981246333233,790,1336.9,52953.3,46405,43550,NaN,0
2020-11-09T20:30:00Z,7.17,7.17,7.17,7.17,NaN,NaN,NaN,7.17,7.17,7.17,7.17,7.16659951612812,175,1327.1,53927.8,46405,43725,NaN,0
2020-11-09T20:45:00Z,7.17,7.18,7.16,7.16,0.04194171952493878,NaN,NaN,7.17,7.18,7.16,7.16,7.165584205954564,185,1286.8,54825.8,46405,43910,NaN,0
2020-11-10T12:00:00Z,7.2,7.2,7.16,7.16,NaN,7.403108120674604,7.409856310785565,7.2,7.2,7.16,7.16,7.164725097346169,860,1241.5,1453,43910,860,NaN,0
